2019-09-28 02:10:44,1650.7万,99.4万,29万,9.8,17476人评
2019-09-29 02:10:44,1686.4万,99.9万,29.6万,9.8,18280人评
2019-09-30 02:10:45,1707.1万,100.3万,29.8万,9.8,18584人评
2019-10-01 02:10:46,1727.7万,100.7万,30万,9.8,18754人评
2019-10-02 02:10:46,1748万,100.9万,30.3万,9.8,18899人评
2019-10-03 02:10:47,1766.4万,101.1万,30.5万,9.8,19038人评
2019-10-04 02:10:49,1782.8万,101.4万,30.7万,9.8,19217人评
2019-10-05 02:10:50,1799.8万,101.6万,31万,9.8,19441人评
2019-10-06 02:10:51,1817.7万,101.8万,31.3万,9.8,19678人评
2019-10-07 02:10:52,1833.3万,102.1万,31.5万,9.8,19887人评
2019-10-08 02:10:53,1849万,102.4万,31.7万,9.8,20055人评
2019-10-09 02:10:54,1859.6万,102.6万,31.9万,9.8,20172人评
2019-10-10 02:10:55,1869万,102.8万,32万,9.8,20263人评
2019-10-18 15:09:09,1904.2万,103.2万,32.4万,9.8,20677人评
2019-10-19 15:09:09,1907.3万,103.3万,32.4万,9.8,20718人评
2019-10-20 15:09:10,1910.9万,103.3万,32.5万,9.8,20756人评
2019-10-21 15:09:11,1913.9万,103.3万,32.5万,9.8,20793人评
2019-10-22 04:00:18,1915.7万,103.3万,32.5万,9.8,20812人评
2019-10-23 04:00:25,1918.3万,103.4万,32.6万,9.8,20856人评
2019-10-24 04:00:32,1920.8万,103.4万,32.6万,9.8,20886人评
2019-10-25 04:00:38,1923.1万,103.5万,32.6万,9.8,20920人评
2019-10-26 04:00:45,1925.7万,103.5万,32.6万,9.8,20944人评
2019-10-27 11:24:07,1929万,103.5万,32.7万,9.8,20976人评
2019-10-27 13:58:28,1929.4万,103.5万,32.7万,9.8,20981人评
2019-10-28 13:58:35,1932万,103.6万,32.7万,9.8,21014人评
2019-10-29 13:58:41,1934.3万,103.6万,32.7万,9.8,21040人评
2019-10-30 13:58:48,1936.6万,103.7万,32.7万,9.8,21075人评
2019-10-31 13:58:54,1938.9万,103.8万,32.7万,9.8,21109人评
2019-11-01 03:26:14,1941.3万,104万,32.8万,9.8,21130人评
2019-11-01 03:37:35,1941.3万,104万,32.8万,9.8,21130人评
2019-11-01 04:37:48,1941.4万,104万,32.8万,9.8,21131人评
2019-11-01 05:38:00,1941.5万,104万,32.8万,9.8,21131人评
2019-11-01 06:38:13,1941.5万,104万,32.8万,9.8,21131人评
2019-11-01 07:38:25,1941.5万,104万,32.8万,9.8,21131人评
2019-11-01 08:38:38,1941.6万,104万,32.8万,9.8,21132人评
2019-11-01 09:38:51,1941.7万,104万,32.8万,9.8,21134人评
2019-11-01 10:39:04,1941.7万,104万,32.8万,9.8,21134人评
2019-11-01 11:39:16,1941.9万,104万,32.8万,9.8,21134人评
2019-11-01 12:39:29,1942万,104万,32.8万,9.8,21134人评
2019-11-01 13:39:42,1942.2万,104万,32.8万,9.8,21134人评
2019-11-01 14:39:54,1942.4万,104万,32.8万,9.8,21137人评
2019-11-01 15:40:07,1942.5万,104.1万,32.8万,9.8,21140人评
2019-11-01 16:40:20,1942.7万,104.1万,32.8万,9.8,21140人评
2019-11-01 17:40:33,1942.8万,104.1万,32.8万,9.8,21142人评
2019-11-01 18:40:45,1943万,104.1万,32.8万,9.8,21146人评
2019-11-01 19:40:58,1943.2万,104.1万,32.8万,9.8,21148人评
2019-11-01 20:41:10,1943.5万,104.1万,32.8万,9.8,21150人评
2019-11-01 21:41:23,1943.7万,104.1万,32.8万,9.8,21150人评
2019-11-01 22:41:35,1943.9万,104.2万,32.8万,9.8,21153人评
2019-11-01 23:41:48,1944.2万,104.2万,32.8万,9.8,21155人评
2019-11-02 00:42:01,1944.6万,104.2万,32.8万,9.8,21156人评
2019-11-02 01:42:13,1944.9万,104.2万,32.8万,9.8,21160人评
2019-11-02 02:42:26,1945.2万,104.2万,32.8万,9.8,21162人评
2019-11-02 03:42:39,1945.3万,104.2万,32.8万,9.8,21163人评
2019-11-02 04:42:52,1945.4万,104.2万,32.8万,9.8,21164人评
2019-11-02 05:43:04,1945.5万,104.3万,32.8万,9.8,21165人评
2019-11-02 06:43:17,1945.5万,104.3万,32.8万,9.8,21165人评
2019-11-02 07:43:30,1945.6万,104.3万,32.8万,9.8,21165人评
2019-11-02 08:43:42,1945.6万,104.3万,32.8万,9.8,21165人评
2019-11-02 09:43:55,1945.7万,104.3万,32.8万,9.8,21168人评
2019-11-02 10:44:08,1945.9万,104.3万,32.8万,9.8,21168人评
2019-11-02 11:44:20,1946.1万,104.3万,32.8万,9.8,21172人评
2019-11-02 12:44:33,1946.3万,104.3万,32.8万,9.8,21173人评
2019-11-02 13:44:46,1946.6万,104.3万,32.8万,9.8,21173人评
2019-11-02 14:44:58,1946.8万,104.3万,32.8万,9.8,21173人评
2019-11-02 15:45:11,1947.1万,104.4万,32.8万,9.8,21174人评
2019-11-02 16:45:23,1947.4万,104.4万,32.8万,9.8,21174人评
2019-11-02 17:45:36,1947.6万,104.4万,32.8万,9.8,21189人评
2019-11-02 18:45:48,1947.9万,104.4万,32.8万,9.8,21189人评
2019-11-02 19:46:01,1948.1万,104.4万,32.8万,9.8,21196人评
2019-11-02 20:46:13,1948.4万,104.5万,32.8万,9.8,21202人评
2019-11-02 21:46:26,1948.6万,104.5万,32.8万,9.8,21203人评
2019-11-02 22:46:38,1948.9万,104.5万,32.8万,9.8,21207人评
2019-11-02 23:46:51,1949.2万,104.5万,32.8万,9.8,21211人评
2019-11-03 00:47:03,1949.6万,104.5万,32.8万,9.8,21217人评
2019-11-03 01:47:16,1950万,104.5万,32.9万,9.8,21225人评
2019-11-03 02:47:28,1950.3万,104.6万,32.9万,9.8,21229人评
2019-11-03 03:47:41,1950.5万,104.6万,32.9万,9.8,21229人评
2019-11-03 04:47:54,1950.6万,104.6万,32.9万,9.8,21230人评
2019-11-03 05:48:07,1950.6万,104.6万,32.9万,9.8,21232人评
2019-11-03 06:48:20,1950.7万,104.6万,32.9万,9.8,21233人评
2019-11-03 07:48:32,1950.7万,104.6万,32.9万,9.8,21233人评
2019-11-03 08:48:45,1950.8万,104.6万,32.9万,9.8,21234人评
2019-11-03 09:48:58,1950.9万,104.6万,32.9万,9.8,21237人评
2019-11-03 10:49:11,1951.1万,104.6万,32.9万,9.8,21238人评
2019-11-03 11:49:23,1951.4万,104.6万,32.9万,9.8,21238人评
2019-11-03 12:49:36,1951.6万,104.6万,32.9万,9.8,21240人评
2019-11-03 13:49:49,1951.9万,104.6万,32.9万,9.8,21244人评
2019-11-03 14:50:01,1952.3万,104.7万,32.9万,9.8,21244人评
2019-11-03 15:50:14,1952.6万,104.7万,32.9万,9.8,21250人评
2019-11-03 16:50:27,1952.8万,104.7万,32.9万,9.8,21250人评
2019-11-03 17:50:39,1953.1万,104.7万,32.9万,9.8,21262人评
2019-11-03 18:50:52,1953.4万,104.7万,32.9万,9.8,21262人评
2019-11-03 19:51:04,1953.7万,104.7万,32.9万,9.8,21269人评
2019-11-03 20:51:17,1953.9万,104.7万,32.9万,9.8,21269人评
2019-11-03 21:51:30,1954.1万,104.8万,32.9万,9.8,21276人评
2019-11-03 22:51:42,1954.4万,104.8万,32.9万,9.8,21278人评
2019-11-03 23:51:55,1954.7万,104.8万,32.9万,9.8,21280人评
2019-11-04 00:52:08,1955.1万,104.8万,32.9万,9.8,21286人评
2019-11-04 01:52:21,1955.4万,104.8万,32.9万,9.8,21289人评
2019-11-04 02:52:33,1955.7万,104.8万,32.9万,9.8,21294人评
2019-11-04 03:52:46,1955.8万,104.8万,32.9万,9.8,21295人评
