2019-09-28 02:10:44,2994.2万,156.6万,102.4万,9.8,28654人评
2019-09-29 02:10:44,2998.1万,156.7万,102.5万,9.8,28676人评
2019-09-30 02:10:45,3001.4万,156.9万,102.6万,9.8,28710人评
2019-10-01 02:10:46,3005.3万,157.1万,102.7万,9.8,28724人评
2019-10-02 02:10:47,3010.1万,157.3万,102.8万,9.8,28749人评
2019-10-03 02:10:48,3015.6万,157.5万,103万,9.8,28768人评
2019-10-04 02:10:49,3021.4万,157.8万,103.2万,9.8,28812人评
2019-10-05 02:10:50,3027.4万,158.1万,103.4万,9.8,28860人评
2019-10-06 02:10:51,3033.5万,158.4万,103.7万,9.8,28907人评
2019-10-07 02:10:52,3039.9万,158.7万,103.9万,9.8,28963人评
2019-10-08 02:10:53,3045.8万,159万,104.2万,9.8,29001人评
2019-10-09 02:10:54,3049.8万,159.2万,104.3万,9.8,29033人评
2019-10-10 02:10:55,3053.7万,159.4万,104.4万,9.8,29062人评
2019-10-18 15:09:09,3083.5万,160.6万,105.2万,9.8,29291人评
2019-10-19 15:09:09,3087.8万,160.9万,105.3万,9.8,29322人评
2019-10-20 15:09:10,3092.6万,161.1万,105.5万,9.8,29358人评
2019-10-21 15:09:11,3096.6万,161.2万,105.6万,9.8,29380人评
2019-10-22 04:00:21,3099.1万,161.3万,105.6万,9.8,29402人评
2019-10-23 04:00:27,3102.6万,161.5万,105.7万,9.8,29426人评
2019-10-24 04:00:34,3105.8万,161.6万,105.8万,9.8,29442人评
2019-10-25 04:00:40,3108.8万,161.7万,105.9万,9.8,29463人评
2019-10-26 04:00:47,3112.3万,161.9万,106万,9.8,29492人评
2019-10-27 11:24:09,3117.4万,162.1万,106.1万,9.8,29543人评
2019-10-27 13:58:30,3118.1万,162.1万,106.2万,9.8,29549人评
2019-10-28 13:58:37,3122.3万,162.3万,106.3万,9.8,29571人评
2019-10-29 13:58:43,3125.9万,162.5万,106.4万,9.8,29600人评
2019-10-30 13:58:50,3129.8万,162.7万,106.4万,9.8,29642人评
2019-10-31 13:58:56,3133.3万,162.8万,106.5万,9.8,29664人评
2019-11-01 03:26:16,3135.9万,163万,106.6万,9.8,29690人评
2019-11-01 03:37:37,3135.9万,163万,106.6万,9.8,29690人评
2019-11-01 04:37:50,3136万,163万,106.6万,9.8,29691人评
2019-11-01 05:38:02,3136万,163万,106.6万,9.8,29691人评
2019-11-01 06:38:15,3136万,163万,106.6万,9.8,29691人评
2019-11-01 07:38:28,3136.1万,163万,106.6万,9.8,29692人评
2019-11-01 08:38:40,3136.1万,163万,106.6万,9.8,29692人评
2019-11-01 09:38:53,3136.2万,163万,106.6万,9.8,29692人评
2019-11-01 10:39:06,3136.2万,163万,106.6万,9.8,29693人评
2019-11-01 11:39:18,3136.3万,163万,106.6万,9.8,29694人评
2019-11-01 12:39:31,3136.5万,163万,106.6万,9.8,29695人评
2019-11-01 13:39:44,3136.6万,163万,106.6万,9.8,29696人评
2019-11-01 14:39:56,3136.8万,163万,106.6万,9.8,29698人评
2019-11-01 15:40:09,3137万,163万,106.6万,9.8,29698人评
2019-11-01 16:40:22,3137.1万,163万,106.6万,9.8,29698人评
2019-11-01 17:40:35,3137.2万,163万,106.6万,9.8,29699人评
2019-11-01 18:40:47,3137.4万,163万,106.6万,9.8,29700人评
2019-11-01 19:41:00,3137.6万,163万,106.6万,9.8,29701人评
2019-11-01 20:41:12,3137.8万,163万,106.6万,9.8,29701人评
2019-11-01 21:41:25,3138.1万,163.1万,106.6万,9.8,29704人评
2019-11-01 22:41:37,3138.3万,163.1万,106.6万,9.8,29704人评
2019-11-01 23:41:50,3138.6万,163.1万,106.6万,9.8,29707人评
2019-11-02 00:42:03,3139万,163.1万,106.6万,9.8,29711人评
2019-11-02 01:42:15,3139.3万,163.1万,106.6万,9.8,29711人评
2019-11-02 02:42:28,3139.5万,163.1万,106.6万,9.8,29713人评
2019-11-02 03:42:41,3139.7万,163.1万,106.6万,9.8,29714人评
2019-11-02 04:42:54,3139.7万,163.1万,106.6万,9.8,29714人评
2019-11-02 05:43:06,3139.8万,163.1万,106.6万,9.8,29715人评
2019-11-02 06:43:19,3139.8万,163.1万,106.6万,9.8,29715人评
2019-11-02 07:43:32,3139.9万,163.1万,106.6万,9.8,29715人评
