名字,播放,综分,追番,评论,弹幕
鬼灭之刃,199192624,3523630,4680554,3282246,3282246
擅长捉弄的高木同学 第二季,25266773,1939302,1634271,840375,840375
女高中生的虚度日常,30235331,1145569,1685175,658135,658135
平凡职业造就世界最强,48156859,1086947,2187579,915093,915093
Ｄｒ．ＳＴＯＮＥ 石纪元,29233562,797941,1630484,419541,419541
黑色四叶草,53784815,699869,1119043,641274,641274
异世界四重奏,14940997,692633,1063488,136348,136348
重来吧，魔王大人！,35088421,645210,1568933,716391,716391
某科学的一方通行,35166255,637509,2162315,705849,705849
在地下城寻求邂逅是否搞错了什么 第二季,22191059,611855,1596093,359126,359126
邻家索菲,11083493,594960,838591,286750,286750
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,27672412,593856,1938753,404235,404235
流汗吧！健身少女,22023085,481638,1223673,378529,378529
炎炎消防队,21588988,458459,1540521,326785,326785
街角魔族,14437743,441537,958707,260561,260561
CAROLE &amp; TUESDAY,47390164,437218,2030352,806369,806369
实况主的逃脱游戏,17470996,419132,1172402,290569,290569
COP CRAFT,15488988,342296,1125279,216974,216974
皿三昧,5981141,305671,584801,106326,106326
在世界尽头咏唱恋曲的少女YU-NO,1920405,287351,359673,26800,26800
2019-09-27 08:12:41

鬼灭之刃,229743724,4504721,5033138,3628899,3628899
擅长捉弄的高木同学 第二季,29749151,4492487,1697153,1020790,1020790
女高中生的虚度日常,35135701,2251400,1767774,745486,745486
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,718402,1014837,3250517,11773,11773
Ｄｒ．ＳＴＯＮＥ 石纪元,33977343,909968,1704565,454654,454654
平凡职业造就世界最强,54599023,843675,2232167,993489,993489
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,30702324,699338,1977567,412812,412812
异世界四重奏,14940997,692633,1063488,136348,136348
实况主的逃脱游戏,20432462,650243,1215152,321326,321326
在地下城寻求邂逅是否搞错了什么 第二季,24897298,635187,1626582,389227,389227
某科学的一方通行,38409436,630941,2198432,746171,746171
邻家索菲,11083493,594960,838591,286750,286750
炎炎消防队,24372834,539415,1596302,350116,350116
重来吧，魔王大人！,38698683,429143,1580151,757194,757194
街角魔族,16156040,425300,991960,282177,282177
CAROLE &amp; TUESDAY,49744803,384636,2055902,836561,836561
流汗吧！健身少女,24040304,378943,1258870,408879,408879
冰海战记,10093969,320443,659345,128561,128561
皿三昧,5981141,305671,584801,106326,106326
COP CRAFT,17298419,294089,1159311,231273,231273
2019-09-28 08:12:43

名字,播放,综分,追番,评论,弹幕
1,鬼灭之刃,229743724,4504721,5033138,3628899,3628899
2,擅长捉弄的高木同学 第二季,29749151,4492487,1697153,1020790,1020790
3,女高中生的虚度日常,35135701,2251400,1767774,745486,745486
4,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,718402,1014837,3250517,11773,11773
5,Ｄｒ．ＳＴＯＮＥ 石纪元,33977343,909968,1704565,454654,454654
6,平凡职业造就世界最强,54599023,843675,2232167,993489,993489
7,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,30702324,699338,1977567,412812,412812
8,异世界四重奏,14940997,692633,1063488,136348,136348
9,实况主的逃脱游戏,20432462,650243,1215152,321326,321326
10,在地下城寻求邂逅是否搞错了什么 第二季,24897298,635187,1626582,389227,389227
11,某科学的一方通行,38409436,630941,2198432,746171,746171
12,邻家索菲,11083493,594960,838591,286750,286750
13,炎炎消防队,24372834,539415,1596302,350116,350116
14,重来吧，魔王大人！,38698683,429143,1580151,757194,757194
15,街角魔族,16156040,425300,991960,282177,282177
16,CAROLE &amp; TUESDAY,49744803,384636,2055902,836561,836561
17,流汗吧！健身少女,24040304,378943,1258870,408879,408879
18,冰海战记,10093969,320443,659345,128561,128561
19,皿三昧,5981141,305671,584801,106326,106326
20,COP CRAFT,17298419,294089,1159311,231273,231273
2019-09-28 10:34:43

1,鬼灭之刃,229743724,4504721,5033138,3628899,3628899
2,擅长捉弄的高木同学 第二季,29749151,4492487,1697153,1020790,1020790
3,女高中生的虚度日常,35135701,2251400,1767774,745486,745486
4,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,718402,1014837,3250517,11773,11773
5,Ｄｒ．ＳＴＯＮＥ 石纪元,33977343,909968,1704565,454654,454654
6,平凡职业造就世界最强,54599023,843675,2232167,993489,993489
7,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,30702324,699338,1977567,412812,412812
8,异世界四重奏,14940997,692633,1063488,136348,136348
9,实况主的逃脱游戏,20432462,650243,1215152,321326,321326
10,在地下城寻求邂逅是否搞错了什么 第二季,24897298,635187,1626582,389227,389227
11,某科学的一方通行,38409436,630941,2198432,746171,746171
12,邻家索菲,11083493,594960,838591,286750,286750
13,炎炎消防队,24372834,539415,1596302,350116,350116
14,重来吧，魔王大人！,38698683,429143,1580151,757194,757194
15,街角魔族,16156040,425300,991960,282177,282177
16,CAROLE &amp; TUESDAY,49744803,384636,2055902,836561,836561
17,流汗吧！健身少女,24040304,378943,1258870,408879,408879
18,冰海战记,10093969,320443,659345,128561,128561
19,皿三昧,5981141,305671,584801,106326,106326
20,COP CRAFT,17298419,294089,1159311,231273,231273
2019-09-29 10:34:57

1,鬼灭之刃,229743724,4504721,5033138,3628899,3628899
2,擅长捉弄的高木同学 第二季,29749151,4492487,1697153,1020790,1020790
3,女高中生的虚度日常,35135701,2251400,1767774,745486,745486
4,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,718402,1014837,3250517,11773,11773
5,Ｄｒ．ＳＴＯＮＥ 石纪元,33977343,909968,1704565,454654,454654
6,平凡职业造就世界最强,54599023,843675,2232167,993489,993489
7,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,30702324,699338,1977567,412812,412812
8,异世界四重奏,14940997,692633,1063488,136348,136348
9,实况主的逃脱游戏,20432462,650243,1215152,321326,321326
10,在地下城寻求邂逅是否搞错了什么 第二季,24897298,635187,1626582,389227,389227
11,某科学的一方通行,38409436,630941,2198432,746171,746171
12,邻家索菲,11083493,594960,838591,286750,286750
13,炎炎消防队,24372834,539415,1596302,350116,350116
14,重来吧，魔王大人！,38698683,429143,1580151,757194,757194
15,街角魔族,16156040,425300,991960,282177,282177
16,CAROLE &amp; TUESDAY,49744803,384636,2055902,836561,836561
17,流汗吧！健身少女,24040304,378943,1258870,408879,408879
18,冰海战记,10093969,320443,659345,128561,128561
19,皿三昧,5981141,305671,584801,106326,106326
20,COP CRAFT,17298419,294089,1159311,231273,231273
2019-09-30 10:34:58

1,鬼灭之刃,229743724,4504721,5033138,3628899,3628899
2,擅长捉弄的高木同学 第二季,29749151,4492487,1697153,1020790,1020790
3,女高中生的虚度日常,35135701,2251400,1767774,745486,745486
4,路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,718402,1014837,3250517,11773,11773
5,Ｄｒ．ＳＴＯＮＥ 石纪元,33977343,909968,1704565,454654,454654
6,平凡职业造就世界最强,54599023,843675,2232167,993489,993489
7,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,30702324,699338,1977567,412812,412812
8,异世界四重奏,14940997,692633,1063488,136348,136348
9,实况主的逃脱游戏,20432462,650243,1215152,321326,321326
10,在地下城寻求邂逅是否搞错了什么 第二季,24897298,635187,1626582,389227,389227
11,某科学的一方通行,38409436,630941,2198432,746171,746171
12,邻家索菲,11083493,594960,838591,286750,286750
13,炎炎消防队,24372834,539415,1596302,350116,350116
14,重来吧，魔王大人！,38698683,429143,1580151,757194,757194
15,街角魔族,16156040,425300,991960,282177,282177
16,CAROLE &amp; TUESDAY,49744803,384636,2055902,836561,836561
17,流汗吧！健身少女,24040304,378943,1258870,408879,408879
18,冰海战记,10093969,320443,659345,128561,128561
19,皿三昧,5981141,305671,584801,106326,106326
20,COP CRAFT,17298419,294089,1159311,231273,231273
2019-10-01 10:34:59

1,鬼灭之刃,229743724,4504721,5033138,3628899,3628899
