时间,贴吧名,贴吧id,贴吧目录1,贴吧目录2,当日即时关注人数(网页获取),当日关注人数(api获取),当日即时主题贴数,当日即时贴子总数,当日即时精品贴总数,贴吧会员名,当日即时签到人数,当日即时签到排名,昨日关注人数,昨日签到人数,昨日签到排名,每周关注人数,每周签到人数,每周签到排名,每月关注人数,每月签到人数,每月签到排名
2020-04-06 23:27:13,vtb,4138714,其他,其他,1408,1309,132,3254,11,会员,379,1798,1228,346,1762,188,268,2114,0,0,0
2020-04-07 08:09:28,vtb,4138714,其他,其他,1431,1418,132,3345,11,会员,124,1993,1309,400,1880,188,268,2114,0,0,0
2020-04-07 09:12:16,vtb,4138714,其他,其他,1434,1418,132,3372,11,会员,159,1898,1309,400,1880,188,268,2114,0,0,0
2020-04-07 10:14:38,vtb,4138714,其他,其他,1440,1418,132,3387,11,会员,199,1651,1309,400,1880,188,268,2114,0,0,0
2020-04-07 11:16:51,vtb,4138714,其他,其他,1441,1418,133,3394,11,会员,223,1627,1309,400,1880,188,268,2114,0,0,0
2020-04-07 12:19:18,vtb,4138714,其他,其他,1449,1418,133,3416,11,会员,243,1593,1309,400,1880,188,268,2114,0,0,0
2020-04-07 13:21:44,vtb,4138714,其他,其他,1458,1418,134,3444,11,会员,268,1558,1309,400,1880,188,268,2114,0,0,0
2020-04-07 14:24:19,vtb,4138714,其他,其他,1461,1418,135,3465,11,会员,287,1588,1309,400,1880,188,268,2114,0,0,0
2020-04-07 15:26:31,vtb,4138714,其他,其他,1464,1418,135,3477,11,会员,301,1609,1309,400,1880,188,268,2114,0,0,0
2020-04-07 16:29:05,vtb,4138714,其他,其他,1464,1418,135,3482,11,会员,309,1644,1309,400,1880,188,268,2114,0,0,0
2020-04-07 17:31:48,vtb,4138714,其他,其他,1466,1418,135,3496,11,会员,316,1668,1309,400,1880,188,268,2114,0,0,0
2020-04-07 18:34:15,vtb,4138714,其他,其他,1470,1418,135,3501,11,会员,329,1676,1309,400,1880,188,268,2114,0,0,0
2020-04-07 19:36:49,vtb,4138714,其他,其他,1476,1418,135,3511,11,会员,340,1728,1309,400,1880,188,268,2114,0,0,0
2020-04-07 20:38:57,vtb,4138714,其他,其他,1477,1418,136,3548,11,会员,346,1771,1309,400,1880,188,268,2114,0,0,0
2020-04-07 21:41:17,vtb,4138714,其他,其他,1484,1418,137,3572,11,会员,360,1943,1309,400,1880,188,268,2114,0,0,0
2020-04-07 22:44:01,vtb,4138714,其他,其他,1486,1418,138,3602,11,会员,372,1933,1309,400,1880,188,268,2114,0,0,0
2020-04-07 23:46:23,vtb,4138714,其他,其他,1494,1418,139,3623,11,会员,390,1888,1309,400,1880,188,268,2114,0,0,0
2020-04-08 00:49:03,vtb,4138714,其他,其他,1502,1418,139,3639,11,会员,405,1858,1309,400,1880,188,268,2114,0,0,0
2020-04-08 01:51:48,vtb,4138714,其他,其他,1509,1502,141,3649,11,会员,54,1055,1418,411,1843,188,268,2114,0,0,0
2020-04-08 02:54:05,vtb,4138714,其他,其他,1511,1502,141,3686,11,会员,87,1534,1418,411,1843,188,268,2114,0,0,0
2020-04-08 03:56:44,vtb,4138714,其他,其他,1512,1502,141,3687,11,会员,98,1689,1418,411,1843,188,268,2114,0,0,0
2020-04-08 04:59:43,vtb,4138714,其他,其他,1511,1502,141,3687,11,会员,106,1751,1418,411,1843,188,268,2114,0,0,0
2020-04-08 06:02:05,vtb,4138714,其他,其他,1513,1502,141,3689,11,会员,112,1842,1418,411,1843,188,268,2114,0,0,0
2020-04-08 07:04:20,vtb,4138714,其他,其他,1513,1502,141,3689,11,会员,115,1961,1418,411,1843,188,268,2114,0,0,0
2020-04-08 08:06:38,vtb,4138714,其他,其他,1515,1502,141,3689,11,会员,131,2067,1418,411,1843,188,268,2114,0,0,0
2020-04-08 09:08:48,vtb,4138714,其他,其他,1517,1502,141,3691,11,会员,164,1879,1418,411,1843,188,268,2114,0,0,0
2020-04-08 10:11:16,vtb,4138714,其他,其他,1519,1502,141,3696,11,会员,204,1779,1418,411,1843,188,268,2114,0,0,0
