时间,贴吧名,贴吧id,贴吧目录1,贴吧目录2,当日即时关注人数(网页获取),当日关注人数(api获取),当日即时主题贴数,当日即时贴子总数,当日即时精品贴总数,贴吧会员名,当日即时签到人数,当日即时签到排名,昨日关注人数,昨日签到人数,昨日签到排名,每周关注人数,每周签到人数,每周签到排名,每月关注人数,每月签到人数,每月签到排名
2020-04-12 06:21:52,新vtuber,27265302,无,无,2866,2862,673,21080,65,会员,159,0,0,0,0,0,0,0,0,0,0
2020-04-12 06:25:33,新vtuber,27265302,无,无,2866,2862,673,21080,65,会员,159,0,0,0,0,0,0,0,0,0,0
2020-04-12 07:27:58,新vtuber,27265302,无,无,2867,2862,672,21083,65,会员,170,0,0,0,0,0,0,0,0,0,0
2020-04-12 08:30:21,新vtuber,27265302,无,无,2868,2862,672,21085,65,会员,184,0,0,0,0,0,0,0,0,0,0
2020-04-12 09:33:04,新vtuber,27265302,无,无,2868,2862,672,21108,65,会员,221,0,0,0,0,0,0,0,0,0,0
2020-04-12 10:35:44,新vtuber,27265302,无,无,2879,2862,671,21128,65,会员,268,0,0,0,0,0,0,0,0,0,0
2020-04-12 11:38:39,新vtuber,27265302,无,无,2880,2862,671,21168,65,会员,306,0,0,0,0,0,0,0,0,0,0
2020-04-12 12:41:23,新vtuber,27265302,无,无,2884,2862,671,21186,65,会员,341,0,0,0,0,0,0,0,0,0,0
2020-04-12 13:43:52,新vtuber,27265302,无,无,2885,2862,674,21229,65,会员,360,0,0,0,0,0,0,0,0,0,0
2020-04-12 14:46:32,新vtuber,27265302,无,无,2886,2862,674,21253,65,会员,390,0,0,0,0,0,0,0,0,0,0
2020-04-12 15:49:12,新vtuber,27265302,无,无,2890,2862,676,21263,65,会员,409,0,0,0,0,0,0,0,0,0,0
2020-04-12 16:52:03,新vtuber,27265302,无,无,2894,2862,677,21287,65,会员,424,0,0,0,0,0,0,0,0,0,0
2020-04-12 17:55:52,新vtuber,27265302,无,无,2900,2862,676,21304,65,会员,438,0,0,0,0,0,0,0,0,0,0
2020-04-12 18:58:20,新vtuber,27265302,无,无,2900,2862,676,21313,65,会员,455,0,0,0,0,0,0,0,0,0,0
2020-04-12 20:00:42,新vtuber,27265302,无,无,2907,2862,677,21333,65,会员,466,0,0,0,0,0,0,0,0,0,0
2020-04-12 21:03:45,新vtuber,27265302,无,无,2914,2862,679,21351,65,会员,488,0,0,0,0,0,0,0,0,0,0
2020-04-12 22:06:21,新vtuber,27265302,无,无,2916,2862,679,21372,65,会员,504,0,0,0,0,0,0,0,0,0,0
2020-04-12 23:08:46,新vtuber,27265302,无,无,2918,2862,679,21382,65,会员,516,0,0,0,0,0,0,0,0,0,0
